State,County,latitude,longitude,NO2_AQI_p1,NO2_AQI_p2,NO2_AQI_p3,O3_AQI_p1,O3_AQI_p2,O3_AQI_p3,SO2_AQI_p1,SO2_AQI_p2,SO2_AQI_p3,CO_AQI_p1,CO_AQI_p2,CO_AQI_p3
Alabama,Jefferson,33.547233900000016,-86.81815029999993,21.40600987651336,21.40600987651336,21.40600987651336,32.80388378022824,35.312180535729375,36.45716745869764,5.888786107883158,6.432958290956849,6.889191112637356,5.947618501177746,6.004140840867686,6.04467569328007
Alaska,Fairbanks North Star ,64.84569000000009,-147.72741299999984,18.879527261425054,29.91993415203647,37.463311041136265,17.90943868280761,18.414571719003398,18.301179472059186,9.438686695789979,13.639145553980324,15.815125034667961,6.564283616002819,7.378057928739714,7.914783364426465
Arizona,Maricopa,33.48651642726124,-112.0561928025102,26.747631114199663,26.37004147600171,28.165220820114783,48.46573459990563,57.57479357071926,62.42491625326788,0.9122354118236504,1.1058020814924117,1.1782812532243598,2.582329200618542,1.6626058406699182,2.0812440453756356
Arizona,Pima,32.20266516354156,-110.90862239999959,22.48955077301825,22.55527741057804,22.564746559516973,30.6871901070831,33.169498533761555,36.15132670846938,0.0,0.0,0.0,4.324547407147655,4.178330512518001,3.7422870643484796
Arkansas,Pulaski,34.77607199999998,-92.27611724999991,17.598725872300797,17.65735124080414,17.680713789012927,37.23825698066983,40.269541371673405,42.32036050438071,1.3882890017646128,1.2320949371678083,1.2155720636283478,3.956629030009586,4.219847726236261,4.389561017308987
California,Alameda,37.78218988888884,-122.2344154444441,25.829740062356972,24.4552158989513,22.333518067917986,21.892527645374415,24.53538130533695,28.001082248777653,0.5128972408562715,0.15834035489596016,0.2761861835819805,7.6408632380162,7.500745286771374,7.187870261587198
California,Contra Costa,37.96911411624451,-122.00380626675302,13.553042284753786,13.360020217929865,13.323435359346751,21.349405511359517,23.78887388107013,28.795676836337464,1.296026105542529,1.296026105542529,1.296026105542529,6.006064933823587,6.023963660789177,6.028413228534106
California,Fresno,36.79918776666664,-119.8213051999996,22.88172043010752,22.88172043010752,22.88172043010752,26.68206112301563,34.03659475569806,45.5829385101984,0.35760742950055435,0.2595245824837041,0.6652586236235029,8.909890722963114,7.546595896522568,6.0990796476137
California,Humboldt,40.759496489587846,-124.1856446159029,7.225806451612903,7.225806451612903,7.225806451612903,26.71115400334228,28.414187155308692,27.18818350302081,0.9103286565283253,0.8109640206340567,0.8109640206340567,5.858540424544135,5.087957441554387,4.582045190216368
California,Imperial,32.67618000000015,-115.48306999999953,26.68,26.68,26.68,30.040017118579023,29.91747341653641,29.90115033138605,0.8916856984719441,1.5391389064247423,1.6712805147580347,8.16,8.16,8.16
